customer_id,customer_name,customer_type,city,zip_code,signup_date,status,contract_type,acquisition_channel,property_tier
1,Carter Cooper,Residential,Nashville,37211,2021-07-20,Active,Recurring,Google Search,Standard
2,Lucas Hayes,Residential,Brentwood,37027,2023-09-13,Active,Recurring,Referral,Standard
3,Carter Murphy,Residential,Nolensville,37135,2021-07-24,Active,Recurring,Google Search,Premium
4,Liam Ross,Residential,Spring Hill,37174,2022-04-09,Active,Recurring,Website,Premium
5,Mason Price,Residential,Nolensville,37135,2022-01-16,Active,One-time,Google Search,Premium
6,Wyatt Brooks,Residential,Spring Hill,37174,2023-03-16,Active,Recurring,Google Search,Standard
7,Logan Turner,Residential,Brentwood,37027,2022-12-24,Active,Recurring,Facebook,Standard
8,Levi Flores,Residential,Nolensville,37135,2021-07-04,Active,One-time,Referral,Standard
9,Mason Ross,Residential,Franklin,37064,2024-03-29,Active,Recurring,Facebook,Standard
10,Liam Flores,Residential,Franklin,37064,2023-11-11,Active,Recurring,Google Search,Standard
11,Owen Brooks,Residential,Nolensville,37135,2024-05-29,Active,Recurring,Google Search,Standard
12,Wyatt Reed,Residential,Franklin,37064,2022-11-04,Inactive,Recurring,Google Search,Premium
13,Aiden Collins,Residential,Brentwood,37027,2023-09-19,Active,Recurring,Homebuilder/HOA,Standard
14,Oak Retail Center,Commercial,Franklin,37064,2023-05-31,Active,Recurring,Referral,Standard
15,Caleb Ward,Residential,Nolensville,37135,2021-10-16,Active,Recurring,Nextdoor,Standard
16,Liam Morgan,Residential,Brentwood,37027,2022-10-07,Active,Recurring,Referral,Standard
17,Cumberland Builders,Commercial,Nolensville,37135,2024-09-14,Inactive,Recurring,Facebook,Standard
18,Elijah Cooper,Residential,Franklin,37064,2023-12-15,Active,Recurring,Homebuilder/HOA,Standard
19,Levi Price,Residential,Franklin,37064,2024-12-03,Active,Recurring,Website,Standard
20,Jackson Price,Residential,Franklin,37064,2021-12-24,Active,One-time,Google Search,Standard
21,River Academy,Commercial,Brentwood,37027,2023-06-11,Active,Recurring,Facebook,Premium
22,Fox Cafe,Commercial,Spring Hill,37174,2022-10-25,Active,Recurring,Google Search,Standard
23,Liam Brooks,Residential,Spring Hill,37174,2021-09-29,Active,One-time,Referral,Standard
24,Jackson Flores,Residential,Franklin,37064,2024-05-12,Inactive,Recurring,Google Search,Premium
25,Caleb Foster,Residential,Spring Hill,37174,2024-06-02,Active,Recurring,Website,Premium
26,Levi Ross,Residential,Brentwood,37027,2021-11-06,Inactive,Recurring,Nextdoor,Standard
27,Logan Flores,Residential,Nolensville,37135,2024-09-01,Active,Recurring,Google Search,Premium
28,Caleb Gray,Residential,Nolensville,37135,2021-06-14,Active,Recurring,Homebuilder/HOA,Standard
29,Cumberland Dental,Commercial,Franklin,37064,2022-03-28,Active,Recurring,Facebook,Premium
30,Caleb Turner,Residential,Brentwood,37027,2021-12-05,Active,Recurring,Nextdoor,Standard
31,Carter Ross,Residential,Nashville,37211,2022-02-21,Active,Recurring,Referral,Estate/Commercial
32,Logan Collins,Residential,Franklin,37064,2023-03-25,Active,Recurring,Yard Sign,Standard
33,Aiden Reed,Residential,Franklin,37064,2024-11-30,Active,One-time,Facebook,Standard
34,Harpeth Apartments,Commercial,Spring Hill,37174,2022-08-23,Active,Recurring,Website,Standard
35,Carter Hayes,Residential,Brentwood,37027,2024-08-13,Active,Recurring,Facebook,Standard
