job_id,estimate_id,scheduled_date,completed_date,completed_month,customer_id,customer_name,customer_type,contract_type,acquisition_channel,property_tier,service_id,service_name,service_category,billing_type,target_margin,crew_id,crew_name,crew_home_base,city,billed_revenue,labor_cost,actual_material_cost,gross_profit,gross_margin_pct,estimated_labor_hours,actual_labor_hours,labor_variance_hours,labor_variance_pct,estimated_material_cost,material_variance,material_variance_pct,rework_flag,weather_delay_flag,travel_minutes,customer_rating
917121,50371,2025-01-18,2025-01-18,2025-01-01 00:00:00,88,Cedar Academy,Commercial,Recurring,Referral,Standard,3,Mulch & Bed Maintenance,Enhancement,one-time,0.34,5,Crew E,Nashville,Nolensville,588.06,142.68,179.7,265.67999999999995,0.4517906336088154,7.8,6.9,-0.8999999999999995,-0.11538461538461532,196.87,-17.170000000000016,-0.08721491339462598,0,0,38,5.0
917483,51091,2025-01-16,2025-01-18,2025-01-01 00:00:00,261,Lucas Parker,Residential,Recurring,Website,Standard,5,Leaf Cleanup,Seasonal,one-time,0.31,2,Crew B,Franklin,Nashville,247.14,58.31,30.47,158.35999999999999,0.6407704135307922,3.07,2.72,-0.34999999999999964,-0.11400651465798034,26.34,4.129999999999999,0.156795747911921,0,1,50,4.5
916935,50027,2025-01-23,2025-01-23,2025-01-01 00:00:00,8,Levi Flores,Residential,One-time,Referral,Standard,5,Leaf Cleanup,Seasonal,one-time,0.31,1,Crew A,Nolensville,Nolensville,249.83,52.85,24.68,172.3,0.689668974902934,2.83,2.31,-0.52,-0.18374558303886926,25.14,-0.46000000000000085,-0.018297533810660335,0,0,39,5.0
917325,50760,2025-01-27,2025-01-28,2025-01-01 00:00:00,179,River Church,Commercial,Recurring,Google Search,Premium,3,Mulch & Bed Maintenance,Enhancement,one-time,0.34,3,Crew C,Brentwood,Spring Hill,911.08,304.53999999999996,243.56,362.9800000000001,0.3984062870439479,12.04,13.94,1.9000000000000004,0.1578073089700997,250.31,-6.75,-0.026966561463784906,0,1,50,4.0
917166,50452,2025-01-29,2025-01-29,2025-01-01 00:00:00,107,Henry Cole,Residential,Recurring,Website,Standard,5,Leaf Cleanup,Seasonal,one-time,0.31,3,Crew C,Brentwood,Spring Hill,311.22,107.68,32.05,171.49,0.5510249983934195,3.81,5.03,1.2200000000000002,0.32020997375328086,32.7,-0.6500000000000057,-0.019877675840978767,0,0,37,4.1
917270,50659,2025-01-30,2025-01-30,2025-01-01 00:00:00,158,Magnolia Academy,Commercial,Recurring,Google Search,Standard,10,Sod Installation,Project,one-time,0.32,2,Crew B,Franklin,Brentwood,2601.39,499.66,693.91,1407.8200000000002,0.5411799076647485,26.88,24.51,-2.3699999999999974,-0.08816964285714277,791.25,-97.34000000000003,-0.12302053712480257,0,0,60,4.2
917247,50606,2025-02-01,2025-02-01,2025-02-01 00:00:00,145,Hudson Turner,Residential,Recurring,Referral,Estate/Commercial,6,Landscape Installation,Project,one-time,0.37,3,Crew C,Brentwood,Brentwood,6052.34,1533.44,2018.06,2500.8399999999997,0.41320216643480034,60.05,71.25,11.200000000000003,0.18651124063280605,2028.02,-9.960000000000036,-0.0049111941696827624,0,0,24,4.5
917493,51110,2025-02-04,2025-02-04,2025-02-01 00:00:00,267,Mason Cole,Residential,Recurring,Referral,Estate/Commercial,5,Leaf Cleanup,Seasonal,one-time,0.31,5,Crew E,Nashville,Nashville,585.25,184.28,61.51,339.46000000000004,0.5800256300726186,7.4,8.32,0.9199999999999999,0.1243243243243243,67.42,-5.910000000000004,-0.08765944823494518,0,0,19,4.3
917379,50865,2025-02-04,2025-02-04,2025-02-01 00:00:00,207,Fox Academy,Commercial,Recurring,Referral,Standard,3,Mulch & Bed Maintenance,Enhancement,one-time,0.34,3,Crew C,Brentwood,Brentwood,833.3,250.31,272.57,310.42,0.3725189007560303,11.11,11.8,0.6900000000000013,0.062106210621062224,240.32,32.25,0.13419607190412783,0,0,10,4.3
902378,,2025-02-05,2025-02-05,2025-02-01 00:00:00,55,Cumberland Dental,Commercial,Recurring,Website,Premium,2,Fertilization & Weed Control,Recurring Maintenance,recurring,0.34,1,Crew A,Nolensville,Nolensville,166.01,21.009999999999998,32.64,112.36,0.6768266971869165,1.05,0.95,-0.10000000000000009,-0.09523809523809532,30.29,2.3500000000000014,0.07758336084516347,0,0,13,4.4
